943736910-20115-u	This looks like a good fix, the new data makes it clearer what is going on.
704338453-19849-u	I have a feeling that Universal Functions is a \"proper name\" and should be capitalized, but I'd defer to a native English speaker to confirm... 
704338688-19849-u	Similarly, I think Trac is a proper name and should be capitalized.
704337111-19849-u	Any reason to remove this date?
704339475-19849-u	I am mixed on this, Roadmap is usually capitalized everywhere I look... I don't have strong feelings either way but not sure about the sentence case rule here.
749484254-19844-u	I can't review the technical details, so I'll leave that for others to look at. The only question I have is if the `core/include/numpy/multiarray_api.txt` file also needs to be updated to include the \"docstring\" for `PyArray_CopyObject`- I'm not sure what is the function of that file.
913039333-19821-u	LGTM, couple of nits. I assume the main fix here is for the case of non-array objects being returned.
701444157-19818-u	You should remove this line too
701444296-19818-u	```suggestion\r\n    Union[int8, int16, int32, int64, uint8, uint16, uint32, uint64, float32, float64]\r\n```\r\nis identical but more readable.
704858848-19814-u	Could you add a space after the colon for all of these?  Just to increase the chance that the user has it in there. 
700911508-19814-u	I think markdown renders here?\r\n```suggestion\r\n    description: Output from `import sys, numpy; print(numpy.__version__, sys.version)`\r\n```
749720331-19814-u	I would be happy to move forward with this and iterate more when we feel something else should be done.\r\n\r\nSciPy has a bit of additional text:\r\n```\r\nThank you for taking the time to file a bug report.\r\n\r\nBefore continuing, please check the issue tracker for existing issues and the development documentation. Your issue could be already fixed on the development version\r\n```\r\nAdding something like this seems good to me.  I might personally write something in the direction of: Thank you... Before creating a new issue, please make sure to take a few minutes to...\r\n\r\nBut, we can do all of that in a followup, below two small nitpicks.
711046954-19814-u	Breaking the line here renders this break in the final form:\r\n![Screen Shot 2021-09-17 at 10 16 10 AM](https://user-images.githubusercontent.com/3949932/133788789-949fa86b-fe96-4ba7-9c62-fd69ed4186ae.png)\r\n\r\nI believe if you use the character `>` instead of `|` at the `value: ` line, the line break in the source file is not respected when rendering, which should fix this issue. Can you try this out?
700603438-19805-u	We'll let the compiler to validate --> We'll let the compiler validate    Minor comment modification
698515484-19781-u	Could you merge the check in lines 667-671 into this loop so we iterate once over `arrayList`
698518310-19781-u	Couldn't this be written more compactly without the loop as `assert_almost_equal(y, y_r)`? What am I missing?    Edit: same thing in the following changes in this file
908235930-19781-u	Thanks, I was paying attention to this aspect, as zip will stop on the shortest iteration. But also `x[i], y[i]` would have raised `IndexError` before if they were different lengths.
699279823-19781-u	Does this need a `if len(res) != len(desired): raise ...` or is it guarenteed that they will be equal length in all the tests?
702211274-19776-u	I don't think this is correct. There's both the squaring and addition operations to consider: doesn't the addition require 101**2 operations?\r\n\r\nIn any case, my two cents is that this could benefit from less detail as it's easy to lose the forest through the trees here. I'd advocate for chopping out the text from `Here,`: IMO the best way to provide more detail would be to add a reference to the [2011 NumPy paper](https://arxiv.org/abs/1102.1523), which has an excellent detailed example of broadcasting with \"sparse\" arrays.\r\n\r\nJust my two cents though - leaving the detail is also fine, but we should double check to make sure the numbers are correct.
747293409-19776-u	Oops - I only meant that the text about performance should be removed, not the example. I think the clearest way to demonstrate what the `sparse` kwarg does is to show it:\r\n\r\n```python\r\n>>> xx, yy = np.meshgrid(x, y)\r\n>>> xx.shape, yy.shape\r\n((101, 101), (101, 101))\r\n>>> xs, ys = np.meshgrid(x, y, sparse=True)\r\n>>> xs.shape, ys.shape\r\n((1, 101), (101, 1))\r\n>>> zs = np.sin(xs**2 + ys**2) / (xs**2 + ys**2)\r\n>>> np.array_equal(z, zs, equal_nan=True)\r\nTrue\r\n>>> zs.shape\r\n(101, 101)\r\n```\r\n\r\nAlso, it seems that `sparse` keeps getting replaced with `spare` in the pushes.
697297643-19715-u	Is this run at all? Please look at the other tests to see how this should be done. The test function should start with `def test_ ...` and the only parameter in your case should be `self`. You can make sure your test is run by checking that your test name appears in the output of\r\n```\r\npython runtests.py -t numpy/core/tests/test_casting_unittests.py -vv \r\n```
703104726-19715-u	@yashasvimisra2798 this tes tis missing an `res.astype(np.float16)` to actually exercise the casting code, could you maybe make small PR to add that?
693483019-19686-u	This is a mistake. If you add a space before the function, it will changes the complete functioning of variable, Remove the spacing.
693486441-19686-u	print(",".join("1234"))  print(", ".join("1234"))    Test both the codes, they will give different outputs. We need to add spaces where there is no change in the output.
736146952-19686-u	Could you also add support for the new `\"1.21\"` legacy-option in the [arrayprint.pyi](https://github.com/numpy/numpy/blob/main/numpy/core/arrayprint.pyi) stub file?\r\nAll you'd have to do is a bit of copy pasting with the following pattern:\r\n``` diff\r\n- Optional[Literal[False, \"1.13\"]]\r\n+ Optional[Literal[False, \"1.13\", \"1.21\"]]\r\n```
688403176-19663-u	The fact that the semantics match those of `ContextVar`s does not sound like an implementation detail; only the fact it contains a `PyCapsule` is. Perhaps something more like:\r\n```suggestion\r\n``PyDataMem_Handler`` thread safety and lifetime\r\n================================================\r\nThe active handler is stored in the current :py:class:`~contextvars.Context`\r\nvia a :py:class:`~contextvars.ContextVar`. This ensures it can be configured both\r\nper-thread and per-async-coroutine.\r\n\r\nThere is currently no lifetime management of ``PyDataMem_Handler``.\r\nThe user of `PyDataMem_SetHandler` must ensure that the argument remains alive\r\nfor as long as any objects allocated with it, and while it is the active handler.\r\nIn practice, this means the handler must be immortal.\r\n\r\nAs an implementation detail, currently this ``ContextVar`` contains a ``PyCapsule``\r\nobject storing a pointer to a ``PyDataMem_Handler``.
688433546-19663-u	Shouldn't we just fix our call to free to be consistent here?
686717106-19645-u	```suggestion\r\n```\r\nThis info is quite dated - I think it can safely be discarded
686719136-19645-u	I actually don't think this is correct - I tested this by randomly injecting an fft test into a document and running the `refguide_check` on it and didn't get any failures. Please double-check me, but I think this should be removed.
686899899-19645-u	IMO it's so niche that it's not worth mentioning here --- maybe adding a blurb to the f2py docs would be better.
687141933-19645-u	Actually, this is not even necessary as the documentation for f2py follows a different pattern and does not rely on importing f2py anywhere, so feel free to just remove the note.
686719989-19645-u	Minor improvement: we should use intersphinx for these links.
686114266-19638-u	It probably makes sense to keep the old behavior\r\n```suggestion\r\n                                        co_filename='<__array_function__ internals>')\r\n```\r\nunless there's a reason not to.
686245253-19638-u	(Not sure what old behavior you're referring to, but making the string more specific sounds good.)
684265383-19620-u	Is it the case that the input to `_CONVERTERS` is always a `str` and never `bytes`? If so, can you add a comment to `_getconv` saying that the converters are for parsing data from `str`
684114871-19618-u	Can you explain this change to an `elif`?
684055440-19618-u	I think using `itemgetter` is overkill here, especially as its forcing you to go through a slice which is slower - perhaps better as:\r\n```suggestion\r\n        # performance optimization - do not iterate `usecols` on every row if not needed\r\n        if len(usecols) > 1:\r\n            usecols_getter = lambda obj: [obj[c] for c in usecols]\r\n        else:\r\n            usecols_getter = lambda obj, c=usecols[0]: [obj[c]]\r\n```
684115439-19618-u	`itemgetter` is implemented in Python as far as I can tell, so I can't see why it would be faster.
693525373-19618-u	It would be easier to parse this code if this was moved up into the `read_data` function that is the only place it is used. It could then be handled with the usual if statements.    I must say this function is a mess, I salute you for wading through it.
693559675-19618-u	I would use ordinary `if` statements to define `usecols_getter` rather than a lengthy right hand side. It would be easier to read and parse.
683500736-19616-u	This logic is not the same as what it used to be when the file is empty; previously it set `ncols` to `len(usecols)`, but now it sets it to zero.
684063325-19610-u	Can you use an approach more like #19618 here? That way, the logic inside this helper becomes simpler, and as a bonus you only have to do the `if` statement once per file rather than once per line.
684108755-19610-u	Can you  add a note here that where possible the returned converter should be equality-comparable to enable optimizations?
684109320-19610-u	I think you may as well extract this `lambda` and the other two in this this function as `_boolconv`, `_complexconv`, and `_intconv`; right now your optimization in this PR doesn't work for these types.
684124515-19610-u	At this point you could inline the lambdas into the table without causing any issues.
682779373-19609-u	While not required by variable scoping, perhaps it would be more readable if `decode` were passed in as an argument to `read_data`. Or would that slow things down?
684400297-19609-u	Do you think we can eliminate the use of `decode_line` on lines in the file entirely? Either by detecting whether the file is text right at the beginning:\r\n```python\r\n# are we going to break on some janky file-like object that doesn't play ball?\r\nneeds_decode = not isinstance(fh, io.TextIOBase)\r\n```\r\nor pulling off the first line much earlier:\r\n```python\r\nfor first_line in fh:\r\n    needs_decode = isinstance(first_line, bytes)\r\n    fh = itertools.chain([first_line], fh)\r\n    break\r\nelse:\r\n    needs_decode = False\r\n```
684412153-19609-u	The only reason I raise it is that this refactor leads to the `latin1` encoding cropping up in multiple places.\r\n\r\n> This should be possible, but makes things a bit more complicated because then you also need (in the later case where you need to pull lines out to know the type) to handle the possibility that the generator is empty, and then emit the empty-file warning in that case.\r\n\r\nI don't think you do - you can still defer emitting the that warning until you try and count the columns of the file; you can always retry to iterate an empty iterator.
682115487-19607-u	I don't think you need this, the `((b) != (b) && (a) ==(a)))` part is for dealing with nans, which isn't a problem with integer types like `npy_datetime` and `npy_timedelta`.
682117505-19607-u	What if both `a` and `b` are NaT? I note that sort order is not necessarily the same as comparison, which is one of the reasons only `LT`  is used for sorting.
681206370-19600-u	I'd just put this on the previous line and avoid the lint complaint. TBH, I'm not sure why it is complaining :)
681894027-19599-u	If these are lifted from internal helpers inside `_loadtxt`, we should prefix their names with `_loadtxt`\r\n\r\nI think it's probably worth a comment explaining _why_ these are lifted to the top level, and the refcounting / performance problems that putting them inside `loadtxt` caused.
892064669-19599-u	Please delete it, its just unnecessary garbage code now, it is not like it has any immediate use (or probably even any use at all).
682582324-19598-u	It might be good to add a comment here to explain why the nested try's & ifs.
683288819-19598-u	I think it would be clearer with this if outside the try
683306830-19598-u	Well this line was stupid!
680560554-19587-u	I'd maybe capitalize as `NPY_DT_CALL_discover_descr_from_pyobject` to make the commonality of these macros even clearer. Or `NPY_DT_METH_discover...`, etc. (or `C_METH`?)
680561741-19587-u	Should this also be a macro? `NPY_DT_common_instance(common_dtype, result, curr)`?
677137716-19565-u	I think this belongs at the end of the section, which would order these functions alphabetically and also make the helper function used after registering the user-defined dtype come after all the registering functions. Also may be worth changing the heading from `New data types` to `User-defined data types`. 
677140803-19565-u	I think we should leave this as a hanging reference to remind us to document this function. Unfortunately it is not even documented in the [public header file](https://github.com/numpy/numpy/blob/df6d2600c51502e1877aac563658d0616a75c5e5/numpy/core/include/numpy/ndarraytypes.h#L793) where it is declared, and I don't see any example use of it in tests.
677141825-19565-u	If you really want to expose a new macro, it should be in a separate PR, not in a documentation PR.
675750606-19554-u	```suggestion\r\n        exc_type: None | Type[BaseException],\r\n        exc_value: None | BaseException,\r\n        traceback: None | TracebackType,\r\n```\r\nStyle nit: the PEP 604 pipe operator generally looks cleaner compared to `Union`/`Optional`.
675833619-19554-u	Yup, the `|` syntax has been supported for annotations (not type aliases) since the [mypy 0.800 release](https://mypy-lang.blogspot.com/2021/01/mypy-0800-released.html).
675755236-19554-u	```suggestion\r\n    def __getitem__(self, index: SupportsIndex | slice) -> Any: ...\r\n    def __setitem__(self, index: SupportsIndex | slice, value: Any) -> None: ...\r\n    def __delitem__(self, key: SupportsIndex | slice) -> None: ...\r\n```\r\nThe `__<x>item__` dunders can also take `slice` objects or any object implementing the `__index__` methods (not just `int`).
725140994-20071-nu	The tests do indeed seem to be duplicated exactly starting at L1037. Nice catch!
724003482-20061-nu	Strange, I cannot find this rendered in the docs preview. [numpy.divide](https://22558-908607-gh.circle-artifacts.com/0/doc/build/html/reference/generated/numpy.divide.html?highlight=divide#numpy.divide) is actually the docstring for [true_divide](https://22558-908607-gh.circle-artifacts.com/0/doc/build/html/reference/generated/numpy.true_divide.html?highlight=divide#numpy.true_divide). If we don't fix this in this PR, we should open a new issue about the confusion.
939422789-20061-nu	Thanks @DimitriPapadopoulos. Let's leave the aliasing of `np.divide` and `np.true_divide` for a future PR.
724119920-20061-nu	I think we can delete this whole docstring, and refactor the `true_divide` docstring to acknowledge it is an alias to np.divide since `np.divide is np.true_divide` returns `True`
932010153-20004-nu	Ideally you should rebase and squash toa single commit so that this unnecessary file doesn't enter the repo as an object.  
767853829-20002-nu	This looks great, thanks @BvB93. It's also more than style changes only, the PEP 585 and `.py` -> `.pyi` changes are useful.
932839054-20000-nu	Thanks Bas, if no-one else has any concerns, lets put this in!  (I suppose we should probably ping the mailing list very briefly about this, but I feel it is just a formality.)
766985060-20000-nu	This looks good to me, thanks!  I am happy with deprecating bools as well, since the new behaviour would mirror indexing.\r\n(Just in case someone wonders:  The casting can lead to integer overflows during the cast in theory, this is something we have to live with right now unfortunately, we do the same in indexing.
718731742-20000-nu	OK, I think we may have to switch hat over to a same-kind casting (possibly with a time exception).  But it is what indexing currently uses, so I think it is fine.  (This would not allow custom user integer DTypes.)
719439098-20000-nu	All NumPy integers should pass fine?  The main problem is that bools and datetimes may also.  If same-kind casting doesn't do the trick, we could also consider adding an abstract `Indexer` DType that users have to register or implement promotion with.
719451463-20000-nu	But you are right, an abstract IndexingDType may be a good way to add some useful formalism and better generalization.
765760997-19992-nu	Thanks @dimpase. This looks reasonable, if it fixes the SciPy issue we should just go ahead and merge it. It cannot break anything else.
929875369-19978-nu	Thanks, when no cast is necessary, it could even just assign.  Otherwise yeah, using real and imag explicitly would be much nicer, but doesn't need to be done here.
717036849-19977-nu	Hmm, I thought single line statements like this would get brackets. Might need to check .clang-format.
717054735-19977-nu	Google style allows this if there is no `else` or `else if` in the conditional.
717126653-19977-nu	Although I'm happy to live with this. It is perhaps easier to live with a few inflexible rules than try to remember a bunch of exceptions.
717039244-19977-nu	Actually prefer this a bit, but will defer to the formatter  in this case.
928308949-19977-nu	Definitely an improvement in readability. `clang-format` doesn't quite match the NumPy style sheet yet, and may not ever get there, but it does help a lot. I think the big question at this point is when to use it. I'd be happy to put this in, but others may disagree.
928421022-19977-nu	I ran\r\n```\r\n$ clang-format -i  numpy/f2py/src/fortranobject.c\r\n$ clang-format --version\r\nclang-format version 12.0.1 (Fedora 12.0.1-1.fc34)\r\n```\r\nAnd it looked pretty good. Is `.clang-format` in your branch?\r\n\r\n
929539932-19977-nu	Let's get this in, it is a reasonable cleanup and doesn't break anything. Thanks @HaoZeke .
931786402-19969-nu	Well, if Aaron thinks this is good, lets get it in. Thanks Bas!
930577229-19969-nu	This looks good to me. 
716927514-19969-nu	The dtypes in the annotation were defined just as the names, like `int8`, not a complex expression like `np.dtype(np.int8)`. Are type checkers really not able to work even with basic names? Any function that has Dtype should basically only pass a type check if it uses the exact same name from this namespace, like `dtype=int8`. 
717033857-19957-nu	Got it - I was worried that removing the `none` would mean that the code-block would fall back to highlighting the block as if it were Python. I think this *is* the default behavior, though fortunately that doesn't matter for these blocks since everything is all caps :).\r\n\r\nThanks for the follow-up, LGTM then!
714934126-19921-nu	Please don't, we have used this trick for similar things already, it is nice and simple, and I am not aware of a (reasonable) failure mode.
762212024-19921-nu	I am happy with this changes right now.  Unless anyone has more comments or thinks we just should do this (or feels this is not fringe enough to skip announcing to the mailing list, just comment).\r\n\r\nIt probably should get a very brief release note for completeness sake though, those are files in `doc/release/upcoming_changes` with the PR number in the name (there is a README).\r\n\r\nOne last note: It is possible to pass the argument by position as a work-around for anyone who must support multiple versions.
713497491-19920-nu	 British dictionaries tend to mention only _usable_.\r\n\r\n\"The United States and Great Britain are two countries separated by a common language\" -- GBS :)
924492268-19920-nu	Aside from the `its` (and the `us(e)able`), all of these seem like clear typos so lets put this in.  Thanks.
759996006-19916-nu	I've updated the readme to make it slightly more obvious that we have to keep them compatible with python 2.
713269855-19911-nu	Should we open an issue to fix this? Not sure if this gets exposed to the users at all.
713487904-19911-nu	Ooopst :/!  I missed that this ended up being changed.  Could you make a PR to revert this?    EDIT: I am not 100% sure if we cannot get away with changing it, but we can discuss on the reverse PR.
713482955-19911-nu	I'm not sure what you mean by "not exported". `numpy.ma.mrecords` is "public API" I think (although I suspect an extremely unused part of it).
924436349-19911-nu	For the future reference, fixing typos in NEPs is OK IMHO. 
924446592-19911-nu	Thanks @DimitriPapadopoulos and everyone going through the changes! LGTM, and I am happy to change those variable typos.
712334120-19893-nu	Maybe     "This command compiles and wraps ``fib1.f`` (``-c``)  to create the extension module ``fib1.so`` (``-m``)  in the current directory.  A list of command line options can be seen by executing ``python -m numpy.f2py``."
712393328-19893-nu	The meaning or "routine" is unclear here. Maybe "subroutine" or some such?
712458609-19893-nu	OK, let's leave that for another PR.
923178357-19893-nu	There is a lot of work here. Sorry to spam the comments, but Github isn't ideal for copy editing.
922075250-19884-nu	Thanks!  Looks right to me.  And since this only affects developers anyway, lets put it in.
927189504-19879-nu	Let's give it a shot. Sounds like we will want it in Python >= 3.9 in any case. Thanks Bas.
918464694-19863-nu	LGTM apart from the `ids`.
917112353-19849-nu	Merging this, any remaining items can be solved in a follow-up. Thanks @sayantikabanik !
917403801-19844-nu	I'd suggest merging this once content seems ready, and using Doxygen-Breathe in a follow-up PR to not mix content and tooling changes.
704718307-19844-nu	These are un-indented on purpose so that the macros can be linked to from elsewhere
915518408-19844-nu	This seems like a good opportunity to use the new [doxygen-breathe infrastructure](https://numpy.org/devdocs/dev/howto-docs.html?highlight=doxygen#documenting-c-c-code) to pull the comments out of the source files and render them in the rst files
917627521-19844-nu	 using Doxygen-Breathe in a follow-up PR to not mix content and tooling changes.\r\n\r\nFWIW the tooling changes have already been merged, so the proposal is to use this as a test-case for the C autodocumentation workflow. @Mukulikaa has expressed interest (or at least willingness) to give this a try and provide feedback on how the process goes. @rgommers brings up a good point though - if you get stuck don't feel the need to keep pushing on the autodocumenting \"experiment\", that shouldn't be a blocker for the content itself. 
702324734-19821-nu	`np.typecodes['AllFloat'][1:]` would remove `'e'`, but is not quite as robust.
702326401-19821-nu	A comment on why this is correct would be helpful.
913246948-19821-nu	Thanks Bas.    The circleci failure may be ignored, it would be fixed by a rebase.  It might be worth testing some of these function with 0-D arrays, but that is for another PR. 
915239631-19821-nu	Ah OK, I did not realize we already have this logic in other places.
702491919-19821-nu	I can't see it making a difference in the big picture.  There might be a small difference in clarity, but with one liners that is debatable ...
701457202-19818-nu	That PR is wrong in multiple ways
700964037-19814-nu	~~I'm curious; how are you testing this? I tried to set this up in another repo, and couldn't come up with anything beyond clobbering `main` on my fork.~~ edit: I should read your description more carefully.
705302443-19814-nu	All of these end up on a single line without spaces when I go to your fork.  Or is that an older version?
705326961-19814-nu	OK, still getting it on one line, but I am willing to blame it on buggy github + browser variations if it looks right to for you, thanks.  I think we still should remove the `python` from the first line.    (Additional nit, we can delay)  I now see that we do write `python myproblem.py`, I think we should maybe write: can be copy-pasted into the python interpreter or run as.  Just noting this because I remember 2-3 occasions were I was wondering why users bothered to provide actual scripts for 10 line snippets, and this might be it ;).
700604364-19805-nu	Are these values arbitrary?
700605662-19805-nu	Should there be a warning here?
744450672-19805-nu	This looks fantastic! I will recheck the issues to see if this fixes more than the one referenced here; but this is a huge step forward.
698521554-19781-nu	I don't see anywhere in numpy or scipy that uses this function. Can we deprecate it?
698522645-19781-nu	The changes here look like a nice cleanup
698523879-19781-nu	This looks better now
908380412-19781-nu	OK, I had a deeper look. Only one of these looks out of place, the rest are either improvements or "doesn't matter". Some of the code can be cleaned up further.
909198447-19781-nu	This looks good now, just two small nits that if broken now they were broken before too.
917633456-19776-nu	Personally I'm -1 on this change. This is an example of a very common use-case that demonstrates how these two fundamental packages (numpy and matplotlib) are used together. It'd be a shame to lose that, and I don't really think the 4 extra lines for matplotlib make the example difficult to follow.\r\n\r\nIf you feel strongly about removing it, I'd recommend opening a separate PR for it.
713276467-19775-nu	We did talk about running a linter through all the code at some point. Maybe we can do that in a subsequent PR
905826520-19754-nu	Nice, browsing the options a bit, would `ContinuationIndentWidth: 8` be closer to current usage?
905854662-19754-nu	Our includes are terrible :(  (and I am happy to admit, that I am not making it better).  There is some maze where include order matters due to INTERNAL BUILD and maybe other things.  Or where files just work because they include a header that incidentally includes something they need...\r\n\r\nIt would be extremely nice to clean it up a bit, I feel I am missing some best practices/intuition, though.
700256064-19754-nu	As far as I can tell this include is not moved, it is new to the file.
912865647-19754-nu	FYI I don't recall how I came up with that original file, but presumably I did it myself since I felt comfortable releasing it the first time someone asked, so if that licensing question is still active you have my blessing (not sure if it even qualifies for copyright anyway). 
765699130-19731-nu	Thanks @tylerjereddy, I think I like this approach and the removal of negative time factors (in principle ideal or not, both seem like the practical choice to me).\r\n\r\nFor me, this PR can go in, if anyone would prefer e.g. a release note, please make a comment.  Otherwise, we should just merge it soon.
901694130-19713-nu	This looks great to me, but I don't know how easy it will be to get this working in our build system.
901921499-19713-nu	No, but I think I've seen build/distribution-issue-based resistance to switching to c++ before, and am merely expecting someone else to bring those up again. I don't know the details I'm afraid.
901948861-19713-nu	Okay thanks. I think there are likely to be some fiddly details, but given that `numpy.distutils` supports C++ just fine and it works for SciPy, I would not expect any really fundamental problems.
692161572-19713-nu	Why is this a template, instead of just\r\n```cpp\r\nnpy_half _NPY_MAX(npy_half a, npy_half b, floating_point_tag const &)\r\n```\r\n\r\nThis would remove the need to have per-dtype tag types.
901967796-19713-nu	We discussed that in one of the triage meetings and decided modern C++ was acceptable, @seiko2plus wanted it.
949558012-19713-nu	In the recent developer meeting, we decided to put this in as an experimental enhancement, without actually pushing to migrate the templated code to c++ templates for the 1.22 release. That way we can see if the infrastructure is solid before progressing.
