746070913-15604-u	"Note that to avoid dividing by zero, a small epsilon value is added to the denominator."
719849356-14935-u	By default every time you'd apply this block you'd get the same layer names. But layer names should be unique.\r\n\r\nYou can do:\r\n\r\n```\r\n... name=None):\r\nif name is None:\r\n    name = backend.get_uid(\"block0\")\r\nx = layers.Conv2D(..., name=name + \"_expand_conv\")\r\n```\r\n\r\nto make sure that you get unique names every time you apply the block.\r\n
721656755-14935-u	Oh sorry, I meant add the quotes along with the backticks here as well. It is just that github is grabbing my backticks and rendering them as markdown.\r\n\r\nA string literal should be surrounded by backticks and quoted. None should be surrounded by backticks and not quoted. So \\`'avg'\\`, \\`'max'\\` and \\`None\\`.\r\n\r\nBasically anything inside the backticks should be valid python you could pass for the argument in question.
719973608-14935-u	When raising errors like this, try putting the value that caused the error in the error message. This would follow our standard format:    'The `weights` argument should be either '  '`None` (random initialization), `imagenet` '  '(pre-training on ImageNet), '  'or the path to the weights file to be loaded.'  f'Received: weights={weights}'
719973844-14935-u	Same here, add a Received: classes={classes}
719975318-14935-u	this comment makes it look like the input_tensor must be a Keras tensor, but that does not seem to be the case in the code below.
719977587-14935-u	what does this comment mean? is this a todo to investigate a warning?
719980217-14935-u	choose a quote delimiter for this file and stick to it (there's a good amount of both " and ')
669034059-14920-u	Use backticks around code keywords, e.g. `(attention_output, attention_scores)` and `attention_output`
668400781-14905-u	This factoring seems confusing. Consider using `get_batch_input_shape(batch_size, dim)` and calling it using `partial`
660024790-14817-u	This is inaccurate: you can configure the depth, it doesn't have to be depth 1
663555522-14817-u	This sentence is important and should be kept
655715763-14750-u	Please move this part of the change to a separate PR. It's going to be more complicate than that.
665024069-14750-u	I really don't see how incrementing `self.wait` at the end of each epoch is the correct behavior.\r\n\r\nYou have access to the epoch counter `epoch`, if you just want to skip the first epoch you can? E.g. if it's the first epoch, then set the best score / weights and continue.
654977016-14748-u	Let's use the names `serialize_as_bytecode` and `deserialize_from_bytecode` to be more explicit.
654977088-14748-u	This parameterization isn't useful here.
654977174-14748-u	Let's test all model types (Sequential, Functional, subclass). We have a parameterization for that. `@keras_parameterized.run_with_all_model_types`. See examples.
667520723-14748-u	Import `pickle_utils` and then access its members in the code
667520801-14748-u	The `:` should come before, `model:`
337062521-13477-u	would using `for layer in sorted(layers, key=lambda x: x.name):` work too in this case?
337064380-13477-u	In your case, you can use the `tmp_path` fixture, which will ensure temporary files are cleaned up, even in case of failure. Please take a look at this: http://doc.pytest.org/en/latest/tmpdir.html#the-tmp-path-fixture      When using the fixture, you don't have to import it, nor to remove the directory afterwards, pytest takes care of it.
321948795-13297-u	Does that actually work with the Keras `compile`/`fit`/`evaluate` methods? If I recall correctly, there were changes made between tf.keras and external Keras (e.g. the `update_state` method returning a list).
321949157-13297-u	Related: please add a metric test that does, roughly, for every `M` among the object metrics:    ```  model = Sequential([Dense(2, input_shape=(3,)])  model.compile('rmsprop', metrics=[M()])  model.fit(x, y)  loss_val, metric_val = model.evaluate(x, y)  ```  No need to test correctness (which is tested separately).    Importantly this test does not need to exclude Theano and CNTK (so it should be in a separate file). Theano / CNTK should only be excluded specifically for MeanIoU.
321949008-13297-u	Avoid adding new symbols to the backend (since they aren't present in tf.keras) and instead do an inline import of tf after checking `K.backend()`.
319341508-13265-u	Please remove the `__init__` docstrings and move the `arguments` sections to the class-level docstring (applicable everywhere)
319342173-13265-u	These two lines can be made conditional on `threshold != 0.5`
319342369-13265-u	To avoid type issues, please use float, e.g. `3. / 4.` (test is failing with Python 2)
318702419-13256-u	Here rather than using __call__ (which we deliberately disable with non-TF backends), we should use a new internal method
265716154-13138-u	Yes, good catch. Keras tensors should be moved to the input list, and should be removed from kwargs.
306565339-13138-u	You shouldn't need to pop these args here. Rather, you should remove them from kwargs before calling the layer (which is fine since they are transferred to the input list)
299666559-13043-u	`self.dtype = dtype or K.floatx()` is equivalent and simpler.
289226865-12894-u	Print statements not necessary.
287076470-12859-u	Fix indent; use 4 space indent.
287076723-12859-u	Use convention `# Arguments` --\r\n\r\n- start with `#`\r\n- no `:`\r\n\r\nThis applies to all new docstrings.
287077297-12859-u	`.numpy()` would be TF-specific. Please remove print statement.
277912571-12721-u	These variables are symbolic tensors, not layer instances, so I think it would be misleading to name them "*_layer".
275595900-12675-u	You should put this series of checks into a utility function, because 1) you do it multiple times, 2) it would improve code readability.
276846632-12675-u	Imports should be done at the top of the file.
272806994-12627-u	Don't use \ for line breaks.    Also: the previous code snippet was a lot more readable than this, please don't change it.
271542356-12568-u	Please use standard formatting for the docstrings, e.g.    ```  # Arguments  ```
271542421-12568-u	This is not relevant to Keras (which does not accept tf.data.Dataset instances as inputs)
268978601-12551-u	Please skip the check if `int_shape` is None or `int_shape[0]` is None (same below).
268924974-12544-u	`dtype in str(var.dtype)` like in CNTK would seem like a better check. Dtypes in TF are weird, and both `float32_ref` and `float32` are possible values for the `name` attribute of a float32 variable.
268484075-12539-u	This could potentially return without crashing despite incorrect values for `start` or `size` (due to the use of `zip`). I would suggest adding a check that both `start` and `size` are tuples of the same length as `ndim(x)`.
268464851-12536-u	I'd say we can remove both warnings.
268426663-12534-u	Let's keep the signature `eye(size, ...)`\r\n\r\nBut then let's accept either an int or a tuple:\r\n\r\n```python\r\nif isinstance(size, (list, tuple)):\r\n   n, m = size\r\nelse:\r\n   n, m = size, size\r\n```
266209370-12500-u	In order to avoid this `for` loop, I think it would be better to have the test for `logsumexp` be a separate function, with a parameterization decorator over axes and shapes.
266209457-12492-u	In modern TF you don't need this cast anymore (I've removed this pattern in the `tf-2` branch).
265832050-12406-u	Thank you for the PR, @tjochmann. Could you add `depth, ` here?
265838069-12336-u	Thank you for the PR, @abhaikollara. How about changing here as `range(1, num_classes + 1)`?
259647424-12299-u	Prefer importing `layers` then using e.g. `layers.Conv2D`
259647442-12299-u	Please standardize the docstrings formatting to be the same as other docstrings in the codebase.
257432338-12241-u	This looks like a breaking behavior change. Why does it need to default to True?
254074957-12205-u	This should be structured as an `if` block for better readability:\r\n\r\n```\r\nif ...:\r\n   output_masks = ...\r\nelse:\r\n   output_masks = ...\r\n```\r\n\r\nYou can simply specify a lack of mask by passing `None` (it doesn't have to be a list of None)
253688435-12203-u	Use `'` everywhere for consistency
253688563-12203-u	No types, our examples are meant to be compatible with Python 2.7
253688643-12203-u	Please use the standard docstring format in use elsewhere in the Keras repo
253688972-12203-u	These are functions defined inside a function, used once? They should just be regular utilities.
254507469-12203-u	Prefer `from keras import layers` then use `layers.Conv2D`, for every layer.
254507614-12203-u	You do not need to make these functions underscore-private, I would think
254507893-12203-u	You do not need to call `print`, the summary is printed automatically.
251557379-12147-u	Prefer `os.path.join` instead of `/`, everywhere (will work on Windows, and generally is cleaner)
720877957-15447-nu	You verified that the output is the same? I wasn't sure
720878200-15447-nu	"Once the PR is approved, you should create" (no need to update keras.io until we're actually publishing the new model)
738622841-15447-nu	In addition this, should we also ask them to provide regular unit test to sanity check their application code?
742279744-15447-nu	I see. Not necessarily asking for one here, but I was curious that if there's no unit test in place I wonder how people make sure their code runs.
738627936-15447-nu	Out of curiosity, what breaks when such function is not provided?
741701694-15447-nu	@mattdangerw \r\nHow is the term **...widely used model** defined? Is it based on only the number of citations of the model used in well-reputed conferences/journals? In that case, I think the conf/journal publisher should be realized also. 20 citations from random journals/publishers would be easy to find these days.
752987852-15355-nu	Thanks for the PR! Please add a simple test for the fixes. It could be an integration test checking the output of the summary for a given model.
753053985-15342-nu	Thanks for sending this PR. I assume this is an minimal repro for the issue and not intended for merge, is it?
707559410-15342-nu	Is this line expected here?
755375212-15342-nu	Thanks for the fix. Overall it looks good. We need to make sure train_on_batch doesn't have any side effects left.
709375205-15342-nu	I think this is probably needed as well, otherwise the follow up model.eval() will accumulate the metric result from this train/test_on_batch.
751792513-15315-nu	There are still 8 failing tests, e.g.\r\n\r\nkeras/layers:convolutional_test
905926056-15251-nu	Thanks for the PR. Please share an example showing the results of the change on the summary display.
740730189-15251-nu	Looks good, the boxes are a nice touch! Please add a unit test and fix the code style.
697596311-15200-nu	Hence why we should use `endswith`. To ignore any prefix.
697992676-15200-nu	my point was to use `endswith('_acc')` rather than `endswith('acc')`
687070253-15133-nu	These tests won't run automatically if the PR author is not in the contributor group. The reviewer need to apply a label with "kokoro force-run" to trigger the build.
687072966-15133-nu	I still think the --test_filter should work for bazel. let me have a try.
687288876-15133-nu	If `test_filter` doesn't work, then an alternative method to commenting things out is to globally rename the tests to add some prefix like 'NORUN_' to the method name.
687073999-15133-nu	Will this slow down the test execution? (potentially cause test to timeout as well)
723616353-15075-nu	LGTM. Note that such changes should only be done in other files if we're in a similar situation where we have inconsistent formatting or where we just have very long code comments in the examples.
682938707-15063-nu	Not sure if there is any item need to be configured for the container, eg python version etc. will it use the docker container file we provided?
893028300-15063-nu	Strong agree with this. It's good to provide people with an easy way to use their favorite development tools, but we should not prescribe one specific workflow.
905820010-14970-nu	I think that's a good plan, but let's hold off for a day, about to discuss this with @fchollet later
907534661-14970-nu	OK this is in! (with a typo fix for received and a couple linter fixes)\r\n\r\nThanks for patience. Please go ahead and address the same for `Cropping2D` and `Cropping3D` if you have time, that would be very helpful!
762668291-14935-nu	Thanks for adding it. Overall looks good to me!
719843342-14935-nu	Do we really need all these models? Why not just the Bs (like for v1)?
720018839-14935-nu	@fchollet isn't it ok to keep all variants of the v2 model? In v1, it's included almost all. Also, in v2, the variants of `s`, `m`, `l` and `xl` have much higher top-1 accuracy compare to the rest (`bs`).
719971183-14935-nu	if you follow @fchollet's note to add a rescaling layer to the model, this note can be removed.
948862596-14935-nu	Also, while landing we will upload the weights to our own bucket. Is https://drive.google.com/file/d/1UCtqTFQ5G-eg1LoK08qxTq3t-O-h0Sib/view the current link for the weights?    Thanks!
900950735-14750-nu	@fchollet Is there any plan to make a patch release containing this fix?
901289889-14750-nu	Hello @harupy, the next release is estimated to be a while from now. Would `pip install keras-nightly` work if you'd like the latest change to be picked up?
654976790-14748-nu	Will this work across all systems?
865400437-14748-nu	Correction: this object is actually replicated in `keras/utils/object_identity.py`.
866182172-14748-nu	Yes, I think it would be straightforward. We'd have to do it for `ObjectIdentityDictionary`, `_ObjectIdentityWrapper`, `ObjectIdentitySet`. Some have weakrefs so it will require a little bit of thinking but still very straightforward.\r\n\r\nChanges would have to be replicated in the TF versions of these objects in a separate PR (for consistency)
544907333-13477-nu	Hi @gabrieldemarmiesse , I added the modifications to the `test_mean_iou`
337469914-13477-nu	I believe that we have too much problems with this tests for what it's worth. Can you disable it? We'll enable it again later once we find a fix.\r\n```suggestion\r\n@pytest.mark.skipif(True, reason='It is a flaky test, see #13477 for more context.')\r\n```\r\n\r\nYou can also remove the flaky decorator and import.
318736730-13256-nu	Is this strictly necessary? I thought internally we were only calling metrics from `compile` which is already a symbolic scope.  This will prevent calling a metric in eager mode if TF 2.
281031033-13256-nu	The attribute `_call_result` will always be present on a scalar tensor that's the output of a metric, right?\r\n\r\nDo we have any graph nodes that are descendants of scalar metric results? Are are these tensors terminal nodes in all cases?
279200998-12751-nu	This is a nice improvement over the previous version. But the main problem is that the submodels with multiple input and/or outputs are incorrectly represented when their first and last nodes are retained.     Proper way would be to keep track of the inputs and outputs of each wrapper/submodel in these dictionaries.
228856333-12675-nu	Thanks a lot! Could you also send a PR to apply the same fix in tf.keras? https://github.com/tensorflow/tensorflow/blob/master/tensorflow/python/keras/utils/vis_utils.py"
222387470-12568-nu	Excellent, thank you!
265953022-12336-nu	Do you have plans to investigate the weird behavior of `in_top_k` in CNTK?
257856493-12299-nu	The bug you encountered is a bug appearing only in keras 2.2.4. The version from master can run this script without any issues.
260620928-12299-nu	@farizrahman4u could this be related to tour recent modifications of batch dot?
215431102-12299-nu	The changes look reasonable, thank you.
200888194-12205-nu	Ok, sounds good. Please add a unit test for this.
199859890-12203-nu	The example script works fine at this time. I do not understand the purpose of the changes in this PR.
200874472-12203-nu	Ok, sounds reasonable! Thanks for the update.
254507776-12203-nu	These 2 functions probably don't need to be nested in this function, and can live outside
